80145975,26690736,20160207,730767
80672121,74284188,20120717,519067
12140835,32607423,20010413,396533
54337653,53354460,20150103,792988
62270427,89567051,20030721,267022
84687018,60094628,20190522,545690
96482833,33790514,20151018,449350
93310959,50515389,19980123,206253
66766390,73438765,20090518,889027
56389058,41069177,20140727,145308
14589958,30117916,20190724,795614
59286096,46097142,19980523,150957
69413036,53354460,20171210,841883
33783537,41805365,20010129,560750
35639381,32601905,20080615,522716
24106276,76491975,20230304,433643
91561397,30056877,20081107,163467
67302530,69486216,20040528,400733
18522819,58037490,19970112,500350
23676369,92747249,19991209,925099
26805653,79927241,20000920,190054
16451083,58037490,20170814,882710
16127759,92747249,20091015,106917
62849278,68837405,20161124,103855
24967974,57762711,20000610,374742
48958231,21394693,19980721,219982
58969147,46097142,20150522,844908
56393672,76139184,20220404,749959
61384921,79375779,20110227,644538
80975668,32116889,20151124,724672
71252890,53354460,19961108,681955
78483465,66370868,20010614,610988
93928325,85331405,20140503,135070
66346680,28452770,20200810,410656
60119195,53354460,19900224,749998
92083682,41805365,20040504,117181
50832631,84379373,19991217,781260
33734310,72991529,20070908,7969
57020426,50515389,20130608,804962
87316204,40318363,20060611,413029
40866235,58090587,19961227,531965
84079453,60094628,20090602,502041
79157090,47382410,20201122,586479
26728972,41805365,20000603,405780
80375879,62867445,20090313,707826
59410065,93256560,19940520,132620
71007280,93256560,20110223,326995
18916029,35633092,20090727,666639
82104876,70306661,20120819,452624
48949948,83893092,20180624,605328
25498216,22590287,20030120,208328
78546228,83479969,20011027,769992
84920725,67743429,20010925,644518
71773253,22278440,19990303,942148
38747752,33966152,20230513,522274
40729706,67743429,19960524,26803
99416142,32116889,19950612,804718
46137796,76602503,19970910,946892
32601379,74284188,20101129,502289
65617145,21857418,20230404,522101
34825663,76602503,20070605,494334
74059530,76602503,19910109,317313
87242214,29780102,19900708,688353
17343466,62059193,20150121,699951
12026743,86216363,20180809,767177
74479425,67968033,19930827,918312
31633741,80562460,20160528,518799
49279221,67968033,19970212,841618
29660260,26690736,19900118,18973
92503670,39961968,20091214,587248
15986109,74284188,20110223,761147
36412819,83893092,20010917,769099
81679103,74494389,20140407,158138
74851660,21394693,20220113,47661
94949909,14985712,20071224,681562
67516629,67968033,20070214,534118
37013969,29780102,20000525,106845
48901117,41805365,20170707,454893
56077926,32601905,19910611,772634
71604237,86216363,19910126,947506
15839618,13347780,20010330,873158
93254267,41630954,20100917,400754
71012208,14967094,20100130,755471
84643796,59753312,20190929,573351
86939639,42622303,20210317,444204
51081231,31193615,20070414,122408
37511530,72333816,20130118,49670
15842908,69165900,19940314,811874
96697057,21842303,20060923,413475
61964377,29780102,20080503,115717
18463636,30056877,19950402,685081
40981188,33317035,20150216,896346
52864921,57762711,19940927,410926
41466153,33790514,20000630,475851
48777412,32607423,19980905,675689
33295927,32116889,20080908,30967
20886863,62483217,20200302,487710
26453399,46714717,20000811,486596
48839822,70306661,19981114,328429
23639102,33966152,20171106,726221
