0,94,0,3,1,190,21
1,86,1,3,0,88,195
2,90,0,3,0,30,193
3,20,4,2,1,196,137
4,92,1,3,0,26,173
5,60,2,0,0,62,181
6,41,4,1,0,118,17
7,56,2,3,1,190,95
8,5,4,3,1,8,173
9,98,0,2,0,92,81
10,4,0,3,0,118,169
11,95,4,3,1,46,93
12,0,3,0,1,176,189
13,45,4,1,0,162,81
14,31,0,0,1,190,187
15,61,0,0,1,6,17
16,39,1,3,1,104,63
17,21,2,1,1,60,151
18,0,3,0,0,62,167
19,22,0,2,0,12,81
20,89,3,0,0,130,163
21,42,2,3,1,0,113
22,51,0,0,1,178,111
23,37,4,2,0,192,107
24,59,0,2,0,8,133
25,45,0,3,1,56,171
26,32,3,3,0,10,169
27,86,0,0,0,40,189
28,27,2,1,0,168,133
29,79,2,0,0,32,135
30,86,0,2,0,166,195
31,47,1,2,0,118,187
32,43,1,0,1,26,37
33,38,2,0,0,34,153
34,44,0,1,1,180,45
35,75,0,3,1,122,35
36,12,4,1,0,8,1
37,94,1,2,1,172,187
38,78,2,3,0,22,83
39,86,0,2,0,170,121
40,0,0,2,0,76,165
41,89,2,0,1,176,135
42,8,2,3,0,18,141
43,4,2,3,0,40,15
44,25,1,0,0,128,83
45,13,1,1,0,148,115
46,54,3,2,1,154,69
47,32,4,3,0,128,87
48,50,3,3,0,126,179
49,42,3,0,1,88,161
50,58,3,0,1,148,7
51,9,2,2,0,134,121
52,59,2,3,1,198,47
53,8,3,1,0,194,89
54,90,4,2,1,100,1
55,40,2,3,0,168,125
56,94,1,3,0,12,73
57,3,4,0,1,80,143
58,6,0,2,1,50,59
59,1,2,2,1,154,41
60,93,0,3,0,132,173
61,59,2,0,1,66,53
62,74,0,1,1,14,133
63,57,4,1,0,50,191
64,82,4,1,1,146,51
65,88,3,1,0,170,99
66,98,1,2,1,74,41
67,98,1,3,0,64,135
68,97,2,0,0,26,153
69,70,4,0,0,154,85
70,54,2,0,0,44,165
71,40,2,1,0,184,153
72,17,1,3,1,166,19
73,81,4,3,0,94,87
74,17,0,2,1,148,129
75,23,4,2,0,0,117
76,89,0,0,0,186,49
77,4,0,2,1,140,167
78,63,1,1,1,74,57
79,5,1,3,1,28,153
80,50,4,1,1,34,153
81,85,3,2,1,30,187
82,31,2,3,1,26,197
83,93,2,0,0,32,187
84,97,1,1,1,116,143
85,33,3,2,1,70,141
86,98,3,2,0,190,101
87,75,2,0,0,50,147
88,49,1,3,0,22,109
89,52,1,3,1,144,111
90,23,4,1,0,112,153
91,72,0,2,0,56,9
92,69,4,0,0,56,83
93,62,4,0,0,56,117
94,54,3,0,1,170,189
95,98,3,1,0,182,77
96,98,0,3,0,96,177
97,5,1,2,0,86,151
98,1,0,1,0,192,71
99,60,3,0,0,132,135
100,42,3,1,0,178,121
101,68,1,0,1,96,189
102,87,2,1,1,102,89
103,24,4,2,0,102,13
104,91,2,1,0,32,139
105,67,1,2,0,132,17
106,26,2,2,1,100,31
107,81,2,2,0,122,93
108,13,3,3,1,26,187
109,46,4,1,0,110,87
110,91,3,0,1,84,39
111,38,4,1,1,188,31
112,95,4,1,1,110,195
113,56,2,1,1,180,197
114,3,2,0,1,98,183
115,53,2,0,0,156,107
116,98,4,3,1,180,145
117,0,4,1,0,80,29
118,78,1,1,0,92,133
119,63,0,0,0,114,131
120,71,4,1,0,180,49
121,23,0,2,0,76,13
122,79,0,1,0,96,67
123,62,1,0,0,32,79
124,9,4,0,1,112,15
125,82,1,0,0,192,63
126,64,0,0,0,38,77
127,43,3,0,0,178,125
128,64,2,0,0,136,9
129,16,1,3,1,6,31
130,2,3,0,0,148,11
131,78,4,1,1,186,199
132,10,4,0,0,160,151
133,26,4,0,1,100,163
134,99,4,3,0,172,67
135,88,1,3,1,178,109
136,51,4,2,0,68,53
137,2,2,2,0,32,39
138,62,1,2,0,62,197
139,18,2,3,1,94,105
140,5,2,1,1,16,183
141,61,4,3,1,48,31
142,85,3,2,1,94,65
143,76,3,3,1,128,99
144,26,4,2,0,70,59
145,57,2,3,0,122,29
146,4,1,0,0,32,65
147,89,1,0,1,90,25
148,48,4,2,1,14,23
149,59,2,3,1,182,173
150,96,2,0,1,168,31
151,68,4,3,0,106,55
152,5,2,1,0,46,161
153,92,3,2,0,198,29
154,44,3,0,1,106,137
155,69,4,2,1,24,135
156,64,3,3,0,196,107
157,64,3,2,1,58,61
158,10,3,0,1,92,21
159,96,3,0,1,44,31
160,71,2,0,0,88,97
161,96,2,3,0,146,105
162,18,4,1,1,108,55
163,19,1,0,0,4,49
164,68,4,2,0,96,67
165,41,0,0,0,198,117
166,87,3,3,0,72,195
167,29,1,2,1,108,69
168,15,1,2,0,2,41
169,12,0,2,1,36,123
170,60,3,1,0,122,1
171,44,4,2,0,192,145
172,44,1,1,0,4,69
173,67,4,1,0,132,159
174,92,2,0,1,94,97
175,32,4,0,0,100,83
176,22,4,0,1,108,51
177,23,3,3,0,160,11
178,22,1,1,1,106,143
